model,noise,severity,tp,fp,fn,precision,recall,f1,f1_person,f1_bicycle,f1_car,f1_motorcycle,f1_bus,f1_truck,f1_traffic_light,f1_stop_sign,clean_f1,rpd
yolov8n,clean,0,8044,1859,6991,0.8123,0.535,0.6451,0.687,0.4893,0.5195,0.6318,0.7075,0.4303,0.3801,0.6765,0.6451,0.0
yolov8n,gaussian,1,7566,1601,7469,0.8254,0.5032,0.6252,0.6684,0.4718,0.4923,0.6041,0.6862,0.405,0.3695,0.6667,0.6451,0.0308
yolov8n,gaussian,3,5590,1255,9445,0.8167,0.3718,0.511,0.5691,0.3281,0.3205,0.4306,0.3989,0.2768,0.2246,0.592,0.6451,0.2079
yolov8n,gaussian,5,2954,727,12081,0.8025,0.1965,0.3157,0.3822,0.1299,0.0827,0.0769,0.007,0.1148,0.0691,0.5405,0.6451,0.5106
yolov8n,motion_blur,1,7000,1655,8035,0.8088,0.4656,0.591,0.637,0.3774,0.4624,0.5347,0.6587,0.337,0.3046,0.6441,0.6451,0.0839
yolov8n,motion_blur,3,3745,1539,11290,0.7087,0.2491,0.3686,0.4248,0.1609,0.2008,0.2277,0.4396,0.0189,0.0565,0.4646,0.6451,0.4286
yolov8n,motion_blur,5,1971,919,13064,0.682,0.1311,0.2199,0.2579,0.0338,0.1037,0.1,0.4219,0.0,0.0124,0.1707,0.6451,0.6591
yolov8n,fog,1,4104,1005,10931,0.8033,0.273,0.4075,0.4596,0.1713,0.2204,0.4016,0.4286,0.2187,0.1087,0.5185,0.6451,0.3683
yolov8n,fog,3,4136,1002,10899,0.805,0.2751,0.4101,0.4625,0.2139,0.2167,0.3811,0.4315,0.214,0.1246,0.5505,0.6451,0.3643
yolov8n,fog,5,4165,964,10870,0.812,0.277,0.4131,0.4644,0.2253,0.231,0.378,0.4467,0.1912,0.1278,0.5536,0.6451,0.3596
yolov8n,rain,1,7370,1711,7665,0.8116,0.4902,0.6112,0.6555,0.4487,0.4678,0.5975,0.6807,0.4024,0.3543,0.6412,0.6451,0.0525
yolov8n,rain,3,4549,1079,10486,0.8083,0.3026,0.4403,0.4939,0.3281,0.2552,0.3111,0.4622,0.221,0.1468,0.6271,0.6451,0.3175
yolov8n,rain,5,792,203,14243,0.796,0.0527,0.0988,0.1214,0.052,0.0254,0.0,0.0277,0.0282,0.0278,0.3529,0.6451,0.8468
yolov5n,clean,0,8485,2622,6550,0.7639,0.5643,0.6491,0.6897,0.4561,0.5428,0.608,0.6892,0.3758,0.459,0.6667,0.6491,0.0
yolov5n,gaussian,1,8034,2292,7001,0.778,0.5344,0.6336,0.6744,0.4467,0.536,0.5739,0.6653,0.3548,0.4269,0.6466,0.6491,0.0239
yolov5n,gaussian,3,5921,1545,9114,0.7931,0.3938,0.5263,0.5766,0.3333,0.4152,0.3674,0.3666,0.1996,0.297,0.6446,0.6491,0.1892
yolov5n,gaussian,5,2678,662,12357,0.8018,0.1781,0.2915,0.3502,0.0655,0.1216,0.042,0.0,0.0459,0.1043,0.5185,0.6491,0.5509
yolov5n,motion_blur,1,7420,2143,7615,0.7759,0.4935,0.6033,0.6475,0.3468,0.5031,0.5278,0.625,0.259,0.3883,0.6721,0.6491,0.0706
yolov5n,motion_blur,3,3931,1770,11104,0.6895,0.2615,0.3791,0.435,0.0294,0.241,0.1925,0.4217,0.0096,0.0652,0.5143,0.6491,0.416
yolov5n,motion_blur,5,1869,1243,13166,0.6006,0.1243,0.206,0.24,0.0,0.132,0.0539,0.3227,0.0,0.0125,0.1687,0.6491,0.6826
yolov5n,fog,1,4995,1675,10040,0.7489,0.3322,0.4603,0.5134,0.0986,0.325,0.3277,0.4136,0.1893,0.2043,0.5806,0.6491,0.2909
yolov5n,fog,3,4978,1603,10057,0.7564,0.3311,0.4606,0.5153,0.1124,0.3293,0.2479,0.4147,0.1843,0.1977,0.6066,0.6491,0.2904
yolov5n,fog,5,4895,1616,10140,0.7518,0.3256,0.4544,0.5085,0.1149,0.3178,0.2869,0.4031,0.1793,0.1987,0.5902,0.6491,0.3
yolov5n,rain,1,7937,2425,7098,0.766,0.5279,0.625,0.6681,0.4119,0.5226,0.5374,0.6233,0.3492,0.4271,0.6565,0.6491,0.0371
yolov5n,rain,3,5192,1602,9843,0.7642,0.3453,0.4757,0.528,0.2419,0.3516,0.2459,0.4057,0.1258,0.2833,0.5455,0.6491,0.2671
yolov5n,rain,5,963,281,14072,0.7741,0.0641,0.1183,0.1397,0.0123,0.085,0.0,0.0275,0.0,0.0332,0.2982,0.6491,0.8177
