model,noise,severity,tp,fp,fn,precision,recall,f1,f1_person,f1_bicycle,f1_car,f1_motorcycle,f1_bus,f1_truck,f1_traffic_light,f1_stop_sign,clean_f1,rpd
yolov8n,clean,0,257,46,184,0.8482,0.5828,0.6909,0.714,0.5455,0.5977,0.5455,0.6809,0.6087,0.7317,0.6667,0.6909,0.0
yolov8n,gaussian,1,245,45,196,0.8448,0.5556,0.6703,0.694,0.6,0.5909,0.3636,0.6667,0.5455,0.7,1.0,0.6909,0.0298
yolov8n,gaussian,3,173,28,268,0.8607,0.3923,0.5389,0.6039,0.6,0.2941,0.4444,0.25,0.2,0.6286,0.0,0.6909,0.22
yolov8n,gaussian,5,89,17,352,0.8396,0.2018,0.3254,0.4265,0.0,0.0357,0.0,0.0,0.0,0.0,1.0,0.6909,0.529
yolov8n,motion_blur,1,217,49,224,0.8158,0.4921,0.6139,0.6475,0.6,0.5055,0.6667,0.5,0.4348,0.6486,0.6667,0.6909,0.1114
yolov8n,motion_blur,3,117,39,324,0.75,0.2653,0.392,0.4736,0.4,0.1515,0.2,0.3158,0.0,0.0,0.0,0.6909,0.4326
yolov8n,motion_blur,5,73,33,368,0.6887,0.1655,0.2669,0.3152,0.0,0.1515,0.4444,0.2703,0.0,0.0,0.0,0.6909,0.6137
yolov8n,fog,1,257,45,184,0.851,0.5828,0.6918,0.714,0.5455,0.6047,0.5455,0.6809,0.6087,0.7317,0.6667,0.6909,0.0
yolov8n,fog,3,245,45,196,0.8448,0.5556,0.6703,0.694,0.6,0.5714,0.6,0.7083,0.5217,0.65,0.6667,0.6909,0.0298
yolov8n,fog,5,217,41,224,0.8411,0.4921,0.6209,0.6571,0.6,0.4691,0.4,0.6522,0.381,0.6154,1.0,0.6909,0.1013
yolov8n,rain,1,205,40,236,0.8367,0.4649,0.5977,0.6379,0.3636,0.481,0.6,0.6364,0.3,0.4848,0.6667,0.6909,0.1349
yolov8n,rain,3,58,16,383,0.7838,0.1315,0.2252,0.2703,0.25,0.1356,0.0,0.1333,0.0,0.0,0.6667,0.6909,0.674
yolov8n,rain,5,1,1,440,0.5,0.0023,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6909,0.9935
yolov5n,clean,0,272,69,169,0.7977,0.6168,0.6957,0.7286,0.2222,0.5631,0.4444,0.8235,0.4211,0.7179,0.6667,0.6957,0.0
yolov5n,gaussian,1,256,61,185,0.8076,0.5805,0.6755,0.7116,0.3636,0.5745,0.4444,0.75,0.2857,0.6842,0.6667,0.6957,0.029
yolov5n,gaussian,3,173,38,268,0.8199,0.3923,0.5307,0.5983,0.2222,0.3662,0.25,0.1333,0.1176,0.6111,0.6667,0.6957,0.2372
yolov5n,gaussian,5,85,17,356,0.8333,0.1927,0.3131,0.395,0.0,0.1034,0.0,0.0,0.0,0.1538,1.0,0.6957,0.5499
yolov5n,motion_blur,1,227,64,214,0.7801,0.5147,0.6202,0.6499,0.4444,0.5657,0.4444,0.5238,0.1333,0.7179,1.0,0.6957,0.1085
yolov5n,motion_blur,3,120,51,321,0.7018,0.2721,0.3922,0.4664,0.0,0.2029,0.3077,0.3429,0.0,0.0,1.0,0.6957,0.4363
yolov5n,motion_blur,5,55,46,386,0.5446,0.1247,0.203,0.2341,0.0,0.1311,0.0,0.25,0.0,0.0,1.0,0.6957,0.7082
yolov5n,fog,1,273,67,168,0.8029,0.619,0.6991,0.7322,0.25,0.5686,0.4444,0.8077,0.4211,0.7179,0.6667,0.6957,0.0
yolov5n,fog,3,256,66,185,0.795,0.5805,0.671,0.7046,0.25,0.5745,0.25,0.7234,0.3158,0.7,1.0,0.6957,0.0355
yolov5n,fog,5,232,62,209,0.7891,0.5261,0.6313,0.6845,0.4444,0.4667,0.25,0.6667,0.3,0.5263,1.0,0.6957,0.0926
yolov5n,rain,1,234,46,207,0.8357,0.5306,0.6491,0.6798,0.25,0.6067,0.4444,0.6809,0.0,0.6829,1.0,0.6957,0.067
yolov5n,rain,3,78,22,363,0.78,0.1769,0.2884,0.3238,0.2,0.1818,0.25,0.069,0.0,0.4138,1.0,0.6957,0.5855
yolov5n,rain,5,2,0,439,1.0,0.0045,0.009,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6957,0.9871
